tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40532922744750977
1,8_2,si,0.4520876407623291
1,16_2,si,0.4550011157989502
1,8_1,no,0.4066317081451416
1,8_2,no,0.45492005348205566
1,16_2,no,0.4632987976074219
2,8_1,si,1.662790298461914
2,8_2,si,1.8646435737609863
2,16_2,si,1.8862926959991455
2,8_1,no,1.6790482997894287
2,8_2,no,1.871901273727417
2,16_2,no,1.8872020244598389
3,8_1,si,3.7940051555633545
3,8_2,si,4.22803807258606
3,16_2,si,4.2920427322387695
3,8_1,no,3.8221027851104736
3,8_2,no,4.282307863235474
3,16_2,no,4.317188262939453
4,8_1,si,6.820518255233765
4,8_2,si,7.619290828704834
4,16_2,si,7.643576145172119
4,8_1,no,6.877106666564941
4,8_2,no,7.646848917007446
4,16_2,no,7.720795392990112
