tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.41138172149658203
1,8_2,si,0.460986852645874
1,16_2,si,0.4627108573913574
1,8_1,no,0.40753674507141113
1,8_2,no,0.4657433032989502
1,16_2,no,0.46283912658691406
2,8_1,si,1.6651811599731445
2,8_2,si,1.8927068710327148
2,16_2,si,1.8753383159637451
2,8_1,no,1.6809723377227783
2,8_2,no,1.8616797924041748
2,16_2,no,1.8893325328826904
3,8_1,si,3.782930612564087
3,8_2,si,4.3568737506866455
3,16_2,si,4.316332578659058
3,8_1,no,3.834123373031616
3,8_2,no,4.337591648101807
3,16_2,no,4.397310972213745
4,8_1,si,6.754622220993042
4,8_2,si,7.755792856216431
4,16_2,si,7.674009799957275
4,8_1,no,6.811632871627808
4,8_2,no,7.639355897903442
4,16_2,no,7.738751173019409
