tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4037296772003174
1,8_2,si,0.4548468589782715
1,16_2,si,0.45639848709106445
1,8_1,no,0.4045381546020508
1,8_2,no,0.45344090461730957
1,16_2,no,0.45473241806030273
2,8_1,si,1.6725609302520752
2,8_2,si,1.8605952262878418
2,16_2,si,1.8862254619598389
2,8_1,no,1.678389310836792
2,8_2,no,1.8739399909973145
2,16_2,no,1.9155139923095703
3,8_1,si,3.9238831996917725
3,8_2,si,4.27583909034729
3,16_2,si,4.42160964012146
3,8_1,no,3.8937296867370605
3,8_2,no,4.271193027496338
3,16_2,no,4.346507787704468
4,8_1,si,6.82625150680542
4,8_2,si,7.607066631317139
4,16_2,si,7.651949167251587
4,8_1,no,6.911769866943359
4,8_2,no,7.616750717163086
4,16_2,no,7.722702980041504
