tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40353822708129883
1,8_2,si,0.45653271675109863
1,16_2,si,0.46123504638671875
1,8_1,no,0.4077417850494385
1,8_2,no,0.4600231647491455
1,16_2,no,0.4658079147338867
2,8_1,si,1.6683650016784668
2,8_2,si,1.8685696125030518
2,16_2,si,1.8835361003875732
2,8_1,no,1.695155143737793
2,8_2,no,1.9027953147888184
2,16_2,no,1.9274938106536865
3,8_1,si,3.80983567237854
3,8_2,si,4.2419984340667725
3,16_2,si,4.258853435516357
3,8_1,no,3.78454327583313
3,8_2,no,4.242677211761475
3,16_2,no,4.378983736038208
4,8_1,si,6.82875394821167
4,8_2,si,7.7262115478515625
4,16_2,si,7.672044277191162
4,8_1,no,6.8716161251068115
4,8_2,no,7.796785593032837
4,16_2,no,7.873698949813843
