tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4083583354949951
1,8_2,si,0.46096277236938477
1,16_2,si,0.4631516933441162
1,8_1,no,0.4103717803955078
1,8_2,no,0.4605112075805664
1,16_2,no,0.46967482566833496
2,8_1,si,1.6897809505462646
2,8_2,si,1.913658857345581
2,16_2,si,1.9067420959472656
2,8_1,no,1.7014856338500977
2,8_2,no,1.8989982604980469
2,16_2,no,1.915015459060669
3,8_1,si,3.83547043800354
3,8_2,si,4.307398796081543
3,16_2,si,4.329961776733398
3,8_1,no,3.878732681274414
3,8_2,no,4.314290285110474
3,16_2,no,4.37343168258667
4,8_1,si,6.9153618812561035
4,8_2,si,7.718375205993652
4,16_2,si,7.759748697280884
4,8_1,no,6.90079927444458
4,8_2,no,7.746981620788574
4,16_2,no,7.845672845840454
