tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40933966636657715
1,8_2,si,0.4634709358215332
1,16_2,si,0.4646310806274414
1,8_1,no,0.41066813468933105
1,8_2,no,0.4600789546966553
1,16_2,no,0.46347618103027344
2,8_1,si,1.6816606521606445
2,8_2,si,1.8987181186676025
2,16_2,si,1.9140782356262207
2,8_1,no,1.6985664367675781
2,8_2,no,1.9112815856933594
2,16_2,no,1.9246389865875244
3,8_1,si,3.8670239448547363
3,8_2,si,4.343755006790161
3,16_2,si,4.33704686164856
3,8_1,no,3.862488031387329
3,8_2,no,4.309569597244263
3,16_2,no,4.369532823562622
4,8_1,si,6.9245970249176025
4,8_2,si,7.742414712905884
4,16_2,si,7.743180990219116
4,8_1,no,6.9029154777526855
4,8_2,no,7.72747540473938
4,16_2,no,7.813426971435547
