tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4024503231048584
1,8_2,si,0.45266246795654297
1,16_2,si,0.4571671485900879
1,8_1,no,0.40447425842285156
1,8_2,no,0.45917701721191406
1,16_2,no,0.461184024810791
2,8_1,si,1.6829304695129395
2,8_2,si,1.8790342807769775
2,16_2,si,1.8940348625183105
2,8_1,no,1.696535587310791
2,8_2,no,1.8875372409820557
2,16_2,no,1.8945105075836182
3,8_1,si,3.787158250808716
3,8_2,si,4.245986461639404
3,16_2,si,4.268542051315308
3,8_1,no,3.756208896636963
3,8_2,no,4.233332872390747
3,16_2,no,4.291013717651367
4,8_1,si,6.808008909225464
4,8_2,si,7.61633563041687
4,16_2,si,7.6830363273620605
4,8_1,no,6.843246221542358
4,8_2,no,7.624892711639404
4,16_2,no,7.693272352218628
