tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.9100186824798584
1,8_2,si,0.9592888355255127
1,16_2,si,0.956916332244873
1,8_1,no,0.9139647483825684
1,8_2,no,0.9606211185455322
1,16_2,no,0.964691162109375
2,8_1,si,3.7711992263793945
2,8_2,si,3.974980592727661
2,16_2,si,3.9571726322174072
2,8_1,no,3.8054471015930176
2,8_2,no,3.9815948009490967
2,16_2,no,3.969165563583374
3,8_1,si,8.5141122341156
3,8_2,si,9.051190376281738
3,16_2,si,9.052682876586914
3,8_1,no,8.5563645362854
3,8_2,no,9.005051612854004
3,16_2,no,9.05302357673645
4,8_1,si,15.272179126739502
4,8_2,si,15.97769808769226
4,16_2,si,16.144811630249023
4,8_1,no,15.26645541191101
4,8_2,no,16.01508665084839
4,16_2,no,16.176580667495728
