tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.41504502296447754
1,8_2,si,0.4623267650604248
1,16_2,si,0.4637739658355713
1,8_1,no,0.41493678092956543
1,8_2,no,0.46576738357543945
1,16_2,no,0.47017526626586914
2,8_1,si,1.7003562450408936
2,8_2,si,1.9050219058990479
2,16_2,si,1.9259047508239746
2,8_1,no,1.7091209888458252
2,8_2,no,1.8999295234680176
2,16_2,no,1.939798355102539
3,8_1,si,3.8888306617736816
3,8_2,si,4.354995250701904
3,16_2,si,4.387853384017944
3,8_1,no,3.912266492843628
3,8_2,no,4.376374006271362
3,16_2,no,4.419337034225464
4,8_1,si,7.024488210678101
4,8_2,si,7.813720464706421
4,16_2,si,7.897421360015869
4,8_1,no,7.080854177474976
4,8_2,no,7.862900018692017
4,16_2,no,7.901689052581787
