tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.3973119258880615
1,8_2,si,0.45096468925476074
1,16_2,si,0.46387219429016113
1,8_1,no,0.4135093688964844
1,8_2,no,0.461702823638916
1,16_2,no,0.47800350189208984
2,8_1,si,1.6635971069335938
2,8_2,si,1.8737704753875732
2,16_2,si,1.8787779808044434
2,8_1,no,1.6717352867126465
2,8_2,no,1.863262414932251
2,16_2,no,1.9021553993225098
3,8_1,si,3.792860984802246
3,8_2,si,4.262917518615723
3,16_2,si,4.281241416931152
3,8_1,no,3.817890167236328
3,8_2,no,4.2730114459991455
3,16_2,no,4.316043138504028
4,8_1,si,6.805195331573486
4,8_2,si,7.6056602001190186
4,16_2,si,7.739348649978638
4,8_1,no,6.865302562713623
4,8_2,no,7.61886191368103
4,16_2,no,7.7217488288879395
