tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40786242485046387
1,8_2,si,0.45267510414123535
1,16_2,si,0.4530818462371826
1,8_1,no,0.4070408344268799
1,8_2,no,0.4546349048614502
1,16_2,no,0.4625115394592285
2,8_1,si,1.6661081314086914
2,8_2,si,1.8677446842193604
2,16_2,si,1.876035213470459
2,8_1,no,1.6666276454925537
2,8_2,no,1.8702473640441895
2,16_2,no,1.8755896091461182
3,8_1,si,3.7600016593933105
3,8_2,si,4.216227293014526
3,16_2,si,4.25268030166626
3,8_1,no,3.7846570014953613
3,8_2,no,4.271678447723389
3,16_2,no,4.340201139450073
4,8_1,si,6.794971704483032
4,8_2,si,7.582002639770508
4,16_2,si,7.662595510482788
4,8_1,no,6.842449426651001
4,8_2,no,7.734596252441406
4,16_2,no,7.717869997024536
