tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40801167488098145
1,8_2,si,0.4561138153076172
1,16_2,si,0.45671772956848145
1,8_1,no,0.4086272716522217
1,8_2,no,0.4549083709716797
1,16_2,no,0.463411808013916
2,8_1,si,1.6944613456726074
2,8_2,si,1.8625903129577637
2,16_2,si,1.882408857345581
2,8_1,no,1.6888928413391113
2,8_2,no,1.881335973739624
2,16_2,no,1.88187837600708
3,8_1,si,3.794494867324829
3,8_2,si,4.254254102706909
3,16_2,si,4.284680604934692
3,8_1,no,3.7798516750335693
3,8_2,no,4.250999212265015
3,16_2,no,4.3004279136657715
4,8_1,si,6.937902212142944
4,8_2,si,7.624811887741089
4,16_2,si,7.6348254680633545
4,8_1,no,6.908116102218628
4,8_2,no,7.626042604446411
4,16_2,no,7.716084241867065
