tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40405988693237305
1,8_2,si,0.45128417015075684
1,16_2,si,0.45536112785339355
1,8_1,no,0.41017723083496094
1,8_2,no,0.4521512985229492
1,16_2,no,0.4600410461425781
2,8_1,si,1.6764757633209229
2,8_2,si,1.8729498386383057
2,16_2,si,1.8935871124267578
2,8_1,no,1.6991260051727295
2,8_2,no,1.918045997619629
2,16_2,no,1.9406511783599854
3,8_1,si,3.8185486793518066
3,8_2,si,4.313588619232178
3,16_2,si,4.362154006958008
3,8_1,no,3.862722635269165
3,8_2,no,4.287475109100342
3,16_2,no,4.278717279434204
4,8_1,si,6.747497320175171
4,8_2,si,7.591446876525879
4,16_2,si,7.661182165145874
4,8_1,no,6.837971448898315
4,8_2,no,7.705508470535278
4,16_2,no,7.690969944000244
