tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.41379404067993164
1,8_2,si,0.4641227722167969
1,16_2,si,0.4618382453918457
1,8_1,no,0.4104275703430176
1,8_2,no,0.4599311351776123
1,16_2,no,0.4716956615447998
2,8_1,si,1.6932291984558105
2,8_2,si,1.9042539596557617
2,16_2,si,1.9063162803649902
2,8_1,no,1.7189791202545166
2,8_2,no,1.9114007949829102
2,16_2,no,1.9296233654022217
3,8_1,si,3.8532845973968506
3,8_2,si,4.331721544265747
3,16_2,si,4.340967655181885
3,8_1,no,3.867274761199951
3,8_2,no,4.32570219039917
3,16_2,no,4.371780872344971
4,8_1,si,6.872607469558716
4,8_2,si,7.739264965057373
4,16_2,si,7.710174322128296
4,8_1,no,6.881297588348389
4,8_2,no,7.725967168807983
4,16_2,no,7.8018412590026855
