tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4111461639404297
1,8_2,si,0.4643425941467285
1,16_2,si,0.46841931343078613
1,8_1,no,0.41432762145996094
1,8_2,no,0.46784114837646484
1,16_2,no,0.472808837890625
2,8_1,si,1.7119309902191162
2,8_2,si,1.920226812362671
2,16_2,si,1.9186975955963135
2,8_1,no,1.7065684795379639
2,8_2,no,1.911184549331665
2,16_2,no,1.9343457221984863
3,8_1,si,3.847466468811035
3,8_2,si,4.314397573471069
3,16_2,si,4.300547122955322
3,8_1,no,3.864290237426758
3,8_2,no,4.330661296844482
3,16_2,no,4.343682765960693
4,8_1,si,6.858654022216797
4,8_2,si,7.728726387023926
4,16_2,si,7.717991590499878
4,8_1,no,6.877678871154785
4,8_2,no,7.74554181098938
4,16_2,no,7.830099105834961
