tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4041249752044678
1,8_2,si,0.4533271789550781
1,16_2,si,0.4555044174194336
1,8_1,no,0.42675304412841797
1,8_2,no,0.47872495651245117
1,16_2,no,0.46477770805358887
2,8_1,si,1.7458462715148926
2,8_2,si,1.8507351875305176
2,16_2,si,1.872126579284668
2,8_1,no,1.6622064113616943
2,8_2,no,1.8566057682037354
2,16_2,no,1.881873369216919
3,8_1,si,3.8293020725250244
3,8_2,si,4.240903615951538
3,16_2,si,4.251946449279785
3,8_1,no,3.7837541103363037
3,8_2,no,4.234719753265381
3,16_2,no,4.276302814483643
4,8_1,si,6.831676483154297
4,8_2,si,7.624541521072388
4,16_2,si,7.827053070068359
4,8_1,no,6.779196739196777
4,8_2,no,7.667906761169434
4,16_2,no,7.725520372390747
