tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4169602394104004
1,8_2,si,0.46597790718078613
1,16_2,si,0.4696669578552246
1,8_1,no,0.4149448871612549
1,8_2,no,0.4692356586456299
1,16_2,no,0.47629880905151367
2,8_1,si,1.7143065929412842
2,8_2,si,1.9024238586425781
2,16_2,si,1.9230091571807861
2,8_1,no,1.7151472568511963
2,8_2,no,1.9243495464324951
2,16_2,no,1.9303889274597168
3,8_1,si,3.8325657844543457
3,8_2,si,4.332656145095825
3,16_2,si,4.361740350723267
3,8_1,no,3.8438100814819336
3,8_2,no,4.328988552093506
3,16_2,no,4.339321851730347
4,8_1,si,6.873491525650024
4,8_2,si,7.758208274841309
4,16_2,si,7.770256996154785
4,8_1,no,6.9265429973602295
4,8_2,no,7.736082077026367
4,16_2,no,7.826725244522095
