tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4139375686645508
1,8_2,si,0.46280598640441895
1,16_2,si,0.46411705017089844
1,8_1,no,0.4124794006347656
1,8_2,no,0.4626779556274414
1,16_2,no,0.4673576354980469
2,8_1,si,1.6858296394348145
2,8_2,si,1.9082677364349365
2,16_2,si,1.9166979789733887
2,8_1,no,1.7104651927947998
2,8_2,no,1.9138247966766357
2,16_2,no,1.9210257530212402
3,8_1,si,3.866071939468384
3,8_2,si,4.334990501403809
3,16_2,si,4.352971792221069
3,8_1,no,3.86306095123291
3,8_2,no,4.314338684082031
3,16_2,no,4.3600850105285645
4,8_1,si,6.901655912399292
4,8_2,si,7.74760365486145
4,16_2,si,7.746081352233887
4,8_1,no,6.9223222732543945
4,8_2,no,7.709194183349609
4,16_2,no,7.8362815380096436
