tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4083850383758545
1,8_2,si,0.45232224464416504
1,16_2,si,0.4594564437866211
1,8_1,no,0.40441465377807617
1,8_2,no,0.4556713104248047
1,16_2,no,0.4594864845275879
2,8_1,si,1.6882987022399902
2,8_2,si,1.8984622955322266
2,16_2,si,1.8881373405456543
2,8_1,no,1.6744091510772705
2,8_2,no,1.8701746463775635
2,16_2,no,1.8995168209075928
3,8_1,si,3.802459239959717
3,8_2,si,4.279886484146118
3,16_2,si,4.309473276138306
3,8_1,no,3.805720329284668
3,8_2,no,4.267393589019775
3,16_2,no,4.317482233047485
4,8_1,si,6.815117359161377
4,8_2,si,7.646875381469727
4,16_2,si,7.739596128463745
4,8_1,no,6.91307258605957
4,8_2,no,7.638128995895386
4,16_2,no,7.68418288230896
