tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4099388122558594
1,8_2,si,0.46202993392944336
1,16_2,si,0.4644491672515869
1,8_1,no,0.4092891216278076
1,8_2,no,0.4616353511810303
1,16_2,no,0.47063612937927246
2,8_1,si,1.679518222808838
2,8_2,si,1.887279748916626
2,16_2,si,1.9136836528778076
2,8_1,no,1.6961421966552734
2,8_2,no,1.9118387699127197
2,16_2,no,1.9227008819580078
3,8_1,si,3.8599905967712402
3,8_2,si,4.3289475440979
3,16_2,si,4.306427717208862
3,8_1,no,3.8698291778564453
3,8_2,no,4.330779552459717
3,16_2,no,4.367717504501343
4,8_1,si,6.888740301132202
4,8_2,si,7.715375661849976
4,16_2,si,7.713778257369995
4,8_1,no,6.921233892440796
4,8_2,no,7.724160194396973
4,16_2,no,7.8119120597839355
