tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4191579818725586
1,8_2,si,0.4721810817718506
1,16_2,si,0.46337127685546875
1,8_1,no,0.4123115539550781
1,8_2,no,0.46248340606689453
1,16_2,no,0.48036766052246094
2,8_1,si,1.7134180068969727
2,8_2,si,1.928830862045288
2,16_2,si,1.944960117340088
2,8_1,no,1.7174618244171143
2,8_2,no,1.91585373878479
2,16_2,no,1.9664819240570068
3,8_1,si,3.832646369934082
3,8_2,si,4.374098062515259
3,16_2,si,4.413371801376343
3,8_1,no,3.8866028785705566
3,8_2,no,4.382788181304932
3,16_2,no,4.484852075576782
4,8_1,si,7.043290615081787
4,8_2,si,7.855173110961914
4,16_2,si,7.801637411117554
4,8_1,no,7.049874544143677
4,8_2,no,7.867930173873901
4,16_2,no,7.928778171539307
