tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4127683639526367
1,8_2,si,0.46607542037963867
1,16_2,si,0.4646470546722412
1,8_1,no,0.41510605812072754
1,8_2,no,0.464580774307251
1,16_2,no,0.47324705123901367
2,8_1,si,1.7289443016052246
2,8_2,si,1.937380075454712
2,16_2,si,1.9312081336975098
2,8_1,no,1.7183585166931152
2,8_2,no,1.9061405658721924
2,16_2,no,1.9531142711639404
3,8_1,si,3.8840596675872803
3,8_2,si,4.35969614982605
3,16_2,si,4.413540840148926
3,8_1,no,3.9069249629974365
3,8_2,no,4.389525890350342
3,16_2,no,4.441692352294922
4,8_1,si,6.99455189704895
4,8_2,si,7.8537092208862305
4,16_2,si,7.840753078460693
4,8_1,no,7.02558159828186
4,8_2,no,7.829706907272339
4,16_2,no,7.914983749389648
