tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.411163330078125
1,8_2,si,0.46079349517822266
1,16_2,si,0.4620933532714844
1,8_1,no,0.4084186553955078
1,8_2,no,0.45837974548339844
1,16_2,no,0.4633338451385498
2,8_1,si,1.6981258392333984
2,8_2,si,1.9215590953826904
2,16_2,si,1.9153437614440918
2,8_1,no,1.6997337341308594
2,8_2,no,1.9002933502197266
2,16_2,no,1.9186742305755615
3,8_1,si,3.8405394554138184
3,8_2,si,4.330037355422974
3,16_2,si,4.348597049713135
3,8_1,no,3.863346815109253
3,8_2,no,4.337174415588379
3,16_2,no,4.369209289550781
4,8_1,si,6.840483903884888
4,8_2,si,7.710381507873535
4,16_2,si,7.687024831771851
4,8_1,no,6.896337509155273
4,8_2,no,7.728472709655762
4,16_2,no,7.788353681564331
