replica,tamanho,algoritmo,localidad,tiempo
9,3,8_1,no,8
9,3,8_2,no,4
9,3,16_2,no,12
9,4,8_1,si,12
9,4,8_2,si,8
9,4,16_2,si,20
9,4,8_1,no,8
9,4,8_2,no,12
9,4,16_2,no,24
10,1,8_1,si,0
10,1,8_2,si,4
10,1,16_2,si,0
10,1,8_1,no,0
10,1,8_2,no,0
10,1,16_2,no,0
10,2,8_1,si,4
10,2,8_2,si,0
10,2,16_2,si,8
10,2,8_1,no,0
10,2,8_2,no,4
10,2,16_2,no,4
10,3,8_1,si,4
10,3,8_2,si,4
10,3,16_2,si,8
10,3,8_1,no,8
10,3,8_2,no,4
10,3,16_2,no,12
10,4,8_1,si,8
10,4,8_2,si,11
10,4,16_2,si,16
10,4,8_1,no,12
10,4,8_2,no,12
10,4,16_2,no,20
11,1,8_1,si,0
11,1,8_2,si,0
11,1,16_2,si,0
11,1,8_1,no,0
11,1,8_2,no,4
11,1,16_2,no,0
11,2,8_1,si,4
11,2,8_2,si,0
11,2,16_2,si,8
11,2,8_1,no,0
11,2,8_2,no,4
11,2,16_2,no,4
11,3,8_1,si,4
11,3,8_2,si,4
11,3,16_2,si,12
11,3,8_1,no,4
11,3,8_2,no,8
11,3,16_2,no,12
11,4,8_1,si,8
11,4,8_2,si,8
11,4,16_2,si,20
11,4,8_1,no,8
11,4,8_2,no,12
11,4,16_2,no,20
12,1,8_1,si,0
12,1,8_2,si,3
12,1,16_2,si,0
12,1,8_1,no,0
12,1,8_2,no,0
12,1,16_2,no,0
12,2,8_1,si,0
12,2,8_2,si,4
12,2,16_2,si,8
12,2,8_1,no,4
12,2,8_2,no,4
12,2,16_2,no,8
12,3,8_1,si,8
12,3,8_2,si,8
12,3,16_2,si,8
12,3,8_1,no,8
12,3,8_2,no,4
12,3,16_2,no,12
12,4,8_1,si,4
12,4,8_2,si,12
12,4,16_2,si,16
12,4,8_1,no,8
12,4,8_2,no,12
12,4,16_2,no,20
13,1,8_1,si,0
13,1,8_2,si,0
13,1,16_2,si,0
13,1,8_1,no,0
13,1,8_2,no,0
13,1,16_2,no,4
13,2,8_1,si,0
13,2,8_2,si,4
13,2,16_2,si,4
13,2,8_1,no,0
13,2,8_2,no,4
13,2,16_2,no,4
13,3,8_1,si,8
13,3,8_2,si,8
13,3,16_2,si,12
13,3,8_1,no,4
13,3,8_2,no,8
13,3,16_2,no,12
13,4,8_1,si,8
13,4,8_2,si,12
13,4,16_2,si,16
13,4,8_1,no,16
13,4,8_2,no,16
13,4,16_2,no,20
14,1,8_1,si,0
14,1,8_2,si,0
14,1,16_2,si,0
14,1,8_1,no,4
14,1,8_2,no,0
14,1,16_2,no,0
14,2,8_1,si,0
14,2,8_2,si,4
14,2,16_2,si,4
14,2,8_1,no,0
14,2,8_2,no,4
14,2,16_2,no,4
14,3,8_1,si,0
14,3,8_2,si,8
14,3,16_2,si,8
14,3,8_1,no,8
14,3,8_2,no,4
14,3,16_2,no,12
14,4,8_1,si,8
14,4,8_2,si,8
14,4,16_2,si,20
14,4,8_1,no,8
14,4,8_2,no,12
14,4,16_2,no,24
15,1,8_1,si,0
15,1,8_2,si,4
15,1,16_2,si,0
15,1,8_1,no,0
15,1,8_2,no,0
15,1,16_2,no,0
15,2,8_1,si,0
15,2,8_2,si,4
15,2,16_2,si,4
15,2,8_1,no,4
15,2,8_2,no,0
15,2,16_2,no,8
15,3,8_1,si,4
15,3,8_2,si,4
15,3,16_2,si,8
15,3,8_1,no,8
15,3,8_2,no,4
15,3,16_2,no,12
15,4,8_1,si,9
15,4,8_2,si,15
15,4,16_2,si,16
15,4,8_1,no,12
15,4,8_2,no,12
15,4,16_2,no,20
16,1,8_1,si,0
16,1,8_2,si,0
16,1,16_2,si,0
16,1,8_1,no,4
16,1,8_2,no,0
16,1,16_2,no,0
16,2,8_1,si,4
16,2,8_2,si,0
16,2,16_2,si,4
16,2,8_1,no,4
16,2,8_2,no,4
16,2,16_2,no,4
16,3,8_1,si,4
16,3,8_2,si,8
16,3,16_2,si,8
16,3,8_1,no,4
16,3,8_2,no,8
16,3,16_2,no,12
16,4,8_1,si,12
16,4,8_2,si,8
16,4,16_2,si,20
16,4,8_1,no,8
16,4,8_2,no,12
16,4,16_2,no,20
17,1,8_1,si,0
17,1,8_2,si,0
17,1,16_2,si,4
17,1,8_1,no,0
17,1,8_2,no,0
17,1,16_2,no,0
17,2,8_1,si,0
17,2,8_2,si,4
17,2,16_2,si,4
17,2,8_1,no,0
17,2,8_2,no,4
17,2,16_2,no,4
17,3,8_1,si,4
17,3,8_2,si,8
17,3,16_2,si,8
17,3,8_1,no,4
17,3,8_2,no,8
17,3,16_2,no,12
17,4,8_1,si,12
17,4,8_2,si,12
17,4,16_2,si,24
17,4,8_1,no,16
17,4,8_2,no,16
17,4,16_2,no,28
18,1,8_1,si,0
18,1,8_2,si,0
18,1,16_2,si,0
18,1,8_1,no,0
18,1,8_2,no,4
18,1,16_2,no,0
18,2,8_1,si,0
18,2,8_2,si,4
18,2,16_2,si,4
18,2,8_1,no,4
18,2,8_2,no,4
18,2,16_2,no,4
18,3,8_1,si,4
18,3,8_2,si,4
18,3,16_2,si,8
18,3,8_1,no,8
18,3,8_2,no,4
18,3,16_2,no,12
18,4,8_1,si,12
18,4,8_2,si,16
18,4,16_2,si,20
18,4,8_1,no,8
18,4,8_2,no,12
18,4,16_2,no,20
19,1,8_1,si,0
19,1,8_2,si,0
19,1,16_2,si,4
19,1,8_1,no,0
19,1,8_2,no,0
19,1,16_2,no,0
19,2,8_1,si,0
19,2,8_2,si,4
19,2,16_2,si,4
19,2,8_1,no,0
19,2,8_2,no,4
19,2,16_2,no,4
19,3,8_1,si,4
19,3,8_2,si,8
19,3,16_2,si,8
19,3,8_1,no,4
19,3,8_2,no,8
19,3,16_2,no,12
19,4,8_1,si,8
19,4,8_2,si,12
19,4,16_2,si,16
19,4,8_1,no,12
19,4,8_2,no,12
19,4,16_2,no,24
20,1,8_1,si,0
20,1,8_2,si,0
20,1,16_2,si,4
20,1,8_1,no,0
20,1,8_2,no,0
20,1,16_2,no,4
20,2,8_1,si,4
20,2,8_2,si,0
20,2,16_2,si,4
20,2,8_1,no,4
20,2,8_2,no,4
20,2,16_2,no,4
20,3,8_1,si,4
20,3,8_2,si,4
20,3,16_2,si,12
20,3,8_1,no,8
20,3,8_2,no,4
20,3,16_2,no,12
20,4,8_1,si,8
20,4,8_2,si,12
20,4,16_2,si,16
20,4,8_1,no,12
20,4,8_2,no,12
20,4,16_2,no,20
21,1,8_1,si,0
21,1,8_2,si,0
21,1,16_2,si,0
21,1,8_1,no,0
21,1,8_2,no,0
21,1,16_2,no,4
21,2,8_1,si,3
21,2,8_2,si,0
21,2,16_2,si,4
21,2,8_1,no,4
21,2,8_2,no,4
21,2,16_2,no,4
21,3,8_1,si,4
21,3,8_2,si,4
21,3,16_2,si,8
21,3,8_1,no,8
21,3,8_2,no,4
21,3,16_2,no,12
21,4,8_1,si,8
21,4,8_2,si,12
21,4,16_2,si,20
21,4,8_1,no,8
21,4,8_2,no,12
21,4,16_2,no,20
22,1,8_1,si,0
22,1,8_2,si,0
22,1,16_2,si,4
22,1,8_1,no,0
22,1,8_2,no,0
22,1,16_2,no,0
22,2,8_1,si,4
22,2,8_2,si,0
22,2,16_2,si,4
22,2,8_1,no,4
22,2,8_2,no,4
22,2,16_2,no,4
22,3,8_1,si,4
22,3,8_2,si,4
22,3,16_2,si,12
22,3,8_1,no,4
22,3,8_2,no,8
22,3,16_2,no,12
22,4,8_1,si,4
22,4,8_2,si,12
22,4,16_2,si,16
22,4,8_1,no,12
22,4,8_2,no,8
22,4,16_2,no,24
23,1,8_1,si,0
23,1,8_2,si,0
23,1,16_2,si,0
23,1,8_1,no,4
23,1,8_2,no,0
23,1,16_2,no,0
23,2,8_1,si,0
23,2,8_2,si,4
23,2,16_2,si,4
23,2,8_1,no,4
23,2,8_2,no,4
23,2,16_2,no,8
23,3,8_1,si,4
23,3,8_2,si,4
23,3,16_2,si,12
23,3,8_1,no,8
23,3,8_2,no,8
23,3,16_2,no,12
23,4,8_1,si,8
23,4,8_2,si,8
23,4,16_2,si,19
23,4,8_1,no,8
23,4,8_2,no,12
23,4,16_2,no,20
24,1,8_1,si,0
24,1,8_2,si,0
24,1,16_2,si,4
24,1,8_1,no,0
24,1,8_2,no,0
24,1,16_2,no,0
24,2,8_1,si,4
24,2,8_2,si,4
24,2,16_2,si,4
24,2,8_1,no,4
24,2,8_2,no,4
24,2,16_2,no,8
24,3,8_1,si,4
24,3,8_2,si,8
24,3,16_2,si,8
24,3,8_1,no,4
24,3,8_2,no,8
24,3,16_2,no,12
24,4,8_1,si,8
24,4,8_2,si,8
24,4,16_2,si,20
24,4,8_1,no,8
24,4,8_2,no,12
24,4,16_2,no,20
25,1,8_1,si,0
25,1,8_2,si,4
25,1,16_2,si,0
25,1,8_1,no,0
25,1,8_2,no,0
25,1,16_2,no,0
25,2,8_1,si,0
25,2,8_2,si,4
25,2,16_2,si,4
25,2,8_1,no,4
25,2,8_2,no,0
25,2,16_2,no,8
25,3,8_1,si,5
25,3,8_2,si,4
25,3,16_2,si,12
25,3,8_1,no,4
25,3,8_2,no,8
25,3,16_2,no,12
25,4,8_1,si,4
25,4,8_2,si,12
25,4,16_2,si,16
25,4,8_1,no,12
