tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4155433177947998
1,8_2,si,0.4618713855743408
1,16_2,si,0.47481727600097656
1,8_1,no,0.41883230209350586
1,8_2,no,0.46643710136413574
1,16_2,no,0.46034955978393555
2,8_1,si,1.6903033256530762
2,8_2,si,1.8921420574188232
2,16_2,si,1.9049465656280518
2,8_1,no,1.669907808303833
2,8_2,no,1.8690578937530518
2,16_2,no,1.9049837589263916
3,8_1,si,3.9147467613220215
3,8_2,si,4.29172682762146
3,16_2,si,4.3653130531311035
3,8_1,no,3.8875997066497803
3,8_2,no,4.26539421081543
3,16_2,no,4.333270311355591
4,8_1,si,6.869505882263184
4,8_2,si,7.691493511199951
4,16_2,si,7.672604322433472
4,8_1,no,6.8337671756744385
4,8_2,no,7.553102016448975
4,16_2,no,7.799670219421387
