tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4110283851623535
1,8_2,si,0.46113061904907227
1,16_2,si,0.4670848846435547
1,8_1,no,0.4112257957458496
1,8_2,no,0.4613957405090332
1,16_2,no,0.46816277503967285
2,8_1,si,1.6940813064575195
2,8_2,si,1.9075682163238525
2,16_2,si,1.916877269744873
2,8_1,no,1.7041707038879395
2,8_2,no,1.9046928882598877
2,16_2,no,1.926459550857544
3,8_1,si,3.873875617980957
3,8_2,si,4.3616783618927
3,16_2,si,4.357762575149536
3,8_1,no,3.878197431564331
3,8_2,no,4.339278221130371
3,16_2,no,4.385335206985474
4,8_1,si,6.877401113510132
4,8_2,si,7.743085622787476
4,16_2,si,7.757918834686279
4,8_1,no,6.9116597175598145
4,8_2,no,7.698984384536743
4,16_2,no,7.8371741771698
