tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40506792068481445
1,8_2,si,0.4560272693634033
1,16_2,si,0.4564998149871826
1,8_1,no,0.4058496952056885
1,8_2,no,0.45498085021972656
1,16_2,no,0.46236562728881836
2,8_1,si,1.682002305984497
2,8_2,si,1.8757929801940918
2,16_2,si,1.9384400844573975
2,8_1,no,1.6995103359222412
2,8_2,no,1.874349594116211
2,16_2,no,1.9063115119934082
3,8_1,si,3.8079612255096436
3,8_2,si,4.267347574234009
3,16_2,si,4.3496527671813965
3,8_1,no,3.8344202041625977
3,8_2,no,4.256271839141846
3,16_2,no,4.29841947555542
4,8_1,si,6.8184685707092285
4,8_2,si,7.680676698684692
4,16_2,si,7.65159273147583
4,8_1,no,6.822617053985596
4,8_2,no,7.6776368618011475
4,16_2,no,7.77305793762207
