tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.411456823348999
1,8_2,si,0.4608454704284668
1,16_2,si,0.46218395233154297
1,8_1,no,0.40676403045654297
1,8_2,no,0.46040868759155273
1,16_2,no,0.4668612480163574
2,8_1,si,1.697397232055664
2,8_2,si,1.8999049663543701
2,16_2,si,1.9121558666229248
2,8_1,no,1.7100152969360352
2,8_2,no,1.904719352722168
2,16_2,no,1.9155802726745605
3,8_1,si,3.830500602722168
3,8_2,si,4.327391147613525
3,16_2,si,4.3597307205200195
3,8_1,no,3.8626554012298584
3,8_2,no,4.326739072799683
3,16_2,no,4.394345998764038
4,8_1,si,7.064761638641357
4,8_2,si,7.984459400177002
4,16_2,si,7.88191032409668
4,8_1,no,6.975060224533081
4,8_2,no,7.808223724365234
4,16_2,no,7.861823558807373
