tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4059274196624756
1,8_2,si,0.4572930335998535
1,16_2,si,0.4599473476409912
1,8_1,no,0.4049828052520752
1,8_2,no,0.4559755325317383
1,16_2,no,0.46177244186401367
2,8_1,si,1.678346872329712
2,8_2,si,1.8852057456970215
2,16_2,si,1.872452974319458
2,8_1,no,1.6796624660491943
2,8_2,no,1.8716778755187988
2,16_2,no,1.892153263092041
3,8_1,si,3.7777397632598877
3,8_2,si,4.220505952835083
3,16_2,si,4.2474164962768555
3,8_1,no,3.753278970718384
3,8_2,no,4.230433225631714
3,16_2,no,4.286007881164551
4,8_1,si,6.841968297958374
4,8_2,si,7.629702806472778
4,16_2,si,7.651185035705566
4,8_1,no,6.840249061584473
4,8_2,no,7.62851357460022
4,16_2,no,7.68757176399231
