tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40584564208984375
1,8_2,si,0.4534633159637451
1,16_2,si,0.47212743759155273
1,8_1,no,0.4114866256713867
1,8_2,no,0.4521911144256592
1,16_2,no,0.45711517333984375
2,8_1,si,1.663137435913086
2,8_2,si,1.9260334968566895
2,16_2,si,1.8693337440490723
2,8_1,no,1.7033541202545166
2,8_2,no,1.936070442199707
2,16_2,no,1.9015076160430908
3,8_1,si,3.8483200073242188
3,8_2,si,4.294058799743652
3,16_2,si,4.306595802307129
3,8_1,no,3.9654653072357178
3,8_2,no,4.289335489273071
3,16_2,no,4.336699962615967
4,8_1,si,6.821935653686523
4,8_2,si,7.654733896255493
4,16_2,si,7.644794702529907
4,8_1,no,6.84301233291626
4,8_2,no,7.617810964584351
4,16_2,no,7.723014831542969
