tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4094259738922119
1,8_2,si,0.45737600326538086
1,16_2,si,0.4595823287963867
1,8_1,no,0.40990447998046875
1,8_2,no,0.45859360694885254
1,16_2,no,0.4633808135986328
2,8_1,si,1.6758477687835693
2,8_2,si,1.868166208267212
2,16_2,si,1.8888418674468994
2,8_1,no,1.6940858364105225
2,8_2,no,1.8825123310089111
2,16_2,no,1.9664855003356934
3,8_1,si,3.789987325668335
3,8_2,si,4.251160144805908
3,16_2,si,4.286530494689941
3,8_1,no,3.7831873893737793
3,8_2,no,4.235460042953491
3,16_2,no,4.376427173614502
4,8_1,si,6.914011240005493
4,8_2,si,7.64371132850647
4,16_2,si,7.672013282775879
4,8_1,no,6.857073783874512
4,8_2,no,7.6203765869140625
4,16_2,no,7.7885894775390625
