tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.42833542823791504
1,8_2,si,0.472109317779541
1,16_2,si,0.4725642204284668
1,8_1,no,0.4170377254486084
1,8_2,no,0.4684016704559326
1,16_2,no,0.46976470947265625
2,8_1,si,1.739001750946045
2,8_2,si,1.9672255516052246
2,16_2,si,1.9941105842590332
2,8_1,no,1.7586452960968018
2,8_2,no,1.9544711112976074
2,16_2,no,1.987504243850708
3,8_1,si,3.95229172706604
3,8_2,si,4.390817403793335
3,16_2,si,4.474305629730225
3,8_1,no,3.958979606628418
3,8_2,no,4.366925239562988
3,16_2,no,4.405550479888916
4,8_1,si,6.996682405471802
4,8_2,si,7.874440431594849
4,16_2,si,7.951995372772217
4,8_1,no,6.989934682846069
4,8_2,no,7.905803680419922
4,16_2,no,7.999532699584961
