tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.405559778213501
1,8_2,si,0.4612128734588623
1,16_2,si,0.4650590419769287
1,8_1,no,0.412506103515625
1,8_2,no,0.46266889572143555
1,16_2,no,0.46324872970581055
2,8_1,si,1.6850013732910156
2,8_2,si,1.8897676467895508
2,16_2,si,1.9051156044006348
2,8_1,no,1.694260597229004
2,8_2,no,1.9007105827331543
2,16_2,no,1.9249391555786133
3,8_1,si,3.8509607315063477
3,8_2,si,4.320003986358643
3,16_2,si,4.327600002288818
3,8_1,no,3.8530561923980713
3,8_2,no,4.334208250045776
3,16_2,no,4.35943341255188
4,8_1,si,6.9122090339660645
4,8_2,si,7.778622627258301
4,16_2,si,7.7739715576171875
4,8_1,no,6.9024269580841064
4,8_2,no,7.762444972991943
4,16_2,no,7.843750953674316
