tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40131425857543945
1,8_2,si,0.4525918960571289
1,16_2,si,0.45538759231567383
1,8_1,no,0.4049222469329834
1,8_2,no,0.4566154479980469
1,16_2,no,0.4579622745513916
2,8_1,si,1.698854923248291
2,8_2,si,1.9149513244628906
2,16_2,si,1.9283881187438965
2,8_1,no,1.7305312156677246
2,8_2,no,1.8837242126464844
2,16_2,no,1.878356695175171
3,8_1,si,3.7994167804718018
3,8_2,si,4.257155895233154
3,16_2,si,4.265052556991577
3,8_1,no,3.84548020362854
3,8_2,no,4.282716989517212
3,16_2,no,4.34212589263916
4,8_1,si,6.884897470474243
4,8_2,si,7.621259450912476
4,16_2,si,7.639302015304565
4,8_1,no,6.843479871749878
4,8_2,no,7.601697683334351
4,16_2,no,7.659914255142212
