tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.41302919387817383
1,8_2,si,0.4627494812011719
1,16_2,si,0.4659264087677002
1,8_1,no,0.4205338954925537
1,8_2,no,0.47498273849487305
1,16_2,no,0.47798943519592285
2,8_1,si,1.7091257572174072
2,8_2,si,1.933797836303711
2,16_2,si,1.967184066772461
2,8_1,no,1.740182638168335
2,8_2,no,1.9689102172851562
2,16_2,no,1.937086582183838
3,8_1,si,3.9162209033966064
3,8_2,si,4.382238149642944
3,16_2,si,4.375763654708862
3,8_1,no,3.912254810333252
3,8_2,no,4.372926712036133
3,16_2,no,4.402683734893799
4,8_1,si,6.966586589813232
4,8_2,si,7.765894889831543
4,16_2,si,7.788248538970947
4,8_1,no,6.934681177139282
4,8_2,no,7.722902297973633
4,16_2,no,7.767702579498291
