tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40680837631225586
1,8_2,si,0.455277681350708
1,16_2,si,0.45826172828674316
1,8_1,no,0.4049687385559082
1,8_2,no,0.45369720458984375
1,16_2,no,0.4563281536102295
2,8_1,si,1.6633880138397217
2,8_2,si,1.8583488464355469
2,16_2,si,1.8732059001922607
2,8_1,no,1.6649894714355469
2,8_2,no,1.8577618598937988
2,16_2,no,1.889760971069336
3,8_1,si,3.7856760025024414
3,8_2,si,4.249428749084473
3,16_2,si,4.282493352890015
3,8_1,no,3.80401873588562
3,8_2,no,4.244378089904785
3,16_2,no,4.308211803436279
4,8_1,si,6.814256191253662
4,8_2,si,7.636918544769287
4,16_2,si,7.699529409408569
4,8_1,no,6.864441394805908
4,8_2,no,7.664560079574585
4,16_2,no,7.686284065246582
