tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4090573787689209
1,8_2,si,0.46268773078918457
1,16_2,si,0.4673633575439453
1,8_1,no,0.41088080406188965
1,8_2,no,0.4654073715209961
1,16_2,no,0.4675405025482178
2,8_1,si,1.6979176998138428
2,8_2,si,1.9101128578186035
2,16_2,si,1.9084627628326416
2,8_1,no,1.7069518566131592
2,8_2,no,1.912853479385376
2,16_2,no,1.9323813915252686
3,8_1,si,3.8506855964660645
3,8_2,si,4.3316121101379395
3,16_2,si,4.345354080200195
3,8_1,no,3.864609479904175
3,8_2,no,4.300225496292114
3,16_2,no,4.3706231117248535
4,8_1,si,6.905292987823486
4,8_2,si,7.706798076629639
4,16_2,si,7.714982271194458
4,8_1,no,6.899559020996094
4,8_2,no,7.70343542098999
4,16_2,no,7.7877607345581055
