tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4132380485534668
1,8_2,si,0.4613168239593506
1,16_2,si,0.47323131561279297
1,8_1,no,0.4121122360229492
1,8_2,no,0.45488572120666504
1,16_2,no,0.4629485607147217
2,8_1,si,1.6741995811462402
2,8_2,si,1.8713021278381348
2,16_2,si,1.8673150539398193
2,8_1,no,1.7093117237091064
2,8_2,no,1.9200482368469238
2,16_2,no,1.9290521144866943
3,8_1,si,3.760890007019043
3,8_2,si,4.244048595428467
3,16_2,si,4.269909858703613
3,8_1,no,3.799208164215088
3,8_2,no,4.23682975769043
3,16_2,no,4.346041917800903
4,8_1,si,6.96603798866272
4,8_2,si,7.682276010513306
4,16_2,si,7.626838207244873
4,8_1,no,6.773725271224976
4,8_2,no,7.571047067642212
4,16_2,no,7.698760032653809
