tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.41315793991088867
1,8_2,si,0.4633924961090088
1,16_2,si,0.4617269039154053
1,8_1,no,0.40816664695739746
1,8_2,no,0.4573018550872803
1,16_2,no,0.4608156681060791
2,8_1,si,1.698265552520752
2,8_2,si,1.8881962299346924
2,16_2,si,1.8891260623931885
2,8_1,no,1.7257678508758545
2,8_2,no,1.9333267211914062
2,16_2,no,1.9256794452667236
3,8_1,si,3.822077512741089
3,8_2,si,4.2855753898620605
3,16_2,si,4.336184501647949
3,8_1,no,3.8564159870147705
3,8_2,no,4.3148415088653564
3,16_2,no,4.359038352966309
4,8_1,si,6.863991975784302
4,8_2,si,7.708496332168579
4,16_2,si,7.8055739402771
4,8_1,no,6.9502599239349365
4,8_2,no,7.759589910507202
4,16_2,no,7.775418281555176
