tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40457916259765625
1,8_2,si,0.45262908935546875
1,16_2,si,0.45427727699279785
1,8_1,no,0.40784406661987305
1,8_2,no,0.48457956314086914
1,16_2,no,0.4593696594238281
2,8_1,si,1.6654269695281982
2,8_2,si,1.9114649295806885
2,16_2,si,1.9177453517913818
2,8_1,no,1.675715446472168
2,8_2,no,1.8627569675445557
2,16_2,no,1.8912177085876465
3,8_1,si,3.864631175994873
3,8_2,si,4.270620822906494
3,16_2,si,4.272039890289307
3,8_1,no,3.7853493690490723
3,8_2,no,4.254763603210449
3,16_2,no,4.300910949707031
4,8_1,si,6.733856439590454
4,8_2,si,7.518486738204956
4,16_2,si,7.5923542976379395
4,8_1,no,6.8887245655059814
4,8_2,no,7.610487699508667
4,16_2,no,7.702172517776489
