tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4089822769165039
1,8_2,si,0.46138548851013184
1,16_2,si,0.46325087547302246
1,8_1,no,0.4136502742767334
1,8_2,no,0.4632108211517334
1,16_2,no,0.46588897705078125
2,8_1,si,1.688504695892334
2,8_2,si,1.9077520370483398
2,16_2,si,1.9084782600402832
2,8_1,no,1.691474437713623
2,8_2,no,1.8930854797363281
2,16_2,no,1.9208712577819824
3,8_1,si,3.864682912826538
3,8_2,si,4.342966794967651
3,16_2,si,4.349512577056885
3,8_1,no,3.8759968280792236
3,8_2,no,4.345117092132568
3,16_2,no,4.383933782577515
4,8_1,si,6.945672512054443
4,8_2,si,7.783871173858643
4,16_2,si,7.75117301940918
4,8_1,no,6.879983186721802
4,8_2,no,7.719867706298828
4,16_2,no,7.806697845458984
