tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.41071319580078125
1,8_2,si,0.46342897415161133
1,16_2,si,0.46617960929870605
1,8_1,no,0.4104275703430176
1,8_2,no,0.45997166633605957
1,16_2,no,0.46866512298583984
2,8_1,si,1.6794819831848145
2,8_2,si,1.9043614864349365
2,16_2,si,1.9066846370697021
2,8_1,no,1.694788932800293
2,8_2,no,1.9042441844940186
2,16_2,no,1.9247539043426514
3,8_1,si,3.842141628265381
3,8_2,si,4.332209825515747
3,16_2,si,4.35598087310791
3,8_1,no,3.878124237060547
3,8_2,no,4.338918447494507
3,16_2,no,4.363189935684204
4,8_1,si,6.906999349594116
4,8_2,si,7.7512290477752686
4,16_2,si,7.71200704574585
4,8_1,no,6.86588191986084
4,8_2,no,7.728409767150879
4,16_2,no,7.821999788284302
