tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.4070250988006592
1,8_2,si,0.45607900619506836
1,16_2,si,0.4562838077545166
1,8_1,no,0.40331172943115234
1,8_2,no,0.451688289642334
1,16_2,no,0.4593489170074463
2,8_1,si,1.6847448348999023
2,8_2,si,1.861579418182373
2,16_2,si,1.8831994533538818
2,8_1,no,1.674886703491211
2,8_2,no,1.8733117580413818
2,16_2,no,1.8986878395080566
3,8_1,si,3.758068561553955
3,8_2,si,4.211482048034668
3,16_2,si,4.232137203216553
3,8_1,no,3.785707712173462
3,8_2,no,4.278260946273804
3,16_2,no,4.3474647998809814
4,8_1,si,6.956274509429932
4,8_2,si,7.740696668624878
4,16_2,si,7.7454235553741455
4,8_1,no,6.91324257850647
4,8_2,no,7.7790656089782715
4,16_2,no,7.788927793502808
