tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40868258476257324
1,8_2,si,0.4577453136444092
1,16_2,si,0.45865559577941895
1,8_1,no,0.41238880157470703
1,8_2,no,0.45937538146972656
1,16_2,no,0.47849369049072266
2,8_1,si,1.674698829650879
2,8_2,si,1.8899590969085693
2,16_2,si,1.8981235027313232
2,8_1,no,1.6843650341033936
2,8_2,no,1.911729335784912
2,16_2,no,1.9070866107940674
3,8_1,si,3.7937798500061035
3,8_2,si,4.24622368812561
3,16_2,si,4.286169052124023
3,8_1,no,3.8238000869750977
3,8_2,no,4.259132146835327
3,16_2,no,4.312083721160889
4,8_1,si,6.814031600952148
4,8_2,si,7.675306081771851
4,16_2,si,7.58307671546936
4,8_1,no,6.831710338592529
4,8_2,no,7.5965211391448975
4,16_2,no,7.681820869445801
