tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.3987884521484375
1,8_2,si,0.45047974586486816
1,16_2,si,0.4548640251159668
1,8_1,no,0.4006333351135254
1,8_2,no,0.4544258117675781
1,16_2,no,0.4611818790435791
2,8_1,si,1.6967625617980957
2,8_2,si,1.9095244407653809
2,16_2,si,1.9013023376464844
2,8_1,no,1.6772880554199219
2,8_2,no,1.875497817993164
2,16_2,no,1.905850887298584
3,8_1,si,3.830822467803955
3,8_2,si,4.310758829116821
3,16_2,si,4.366917133331299
3,8_1,no,3.935641050338745
3,8_2,no,4.39863395690918
3,16_2,no,4.333500623703003
4,8_1,si,6.840528249740601
4,8_2,si,7.698242902755737
4,16_2,si,7.738807439804077
4,8_1,no,6.881606817245483
4,8_2,no,7.732208013534546
4,16_2,no,7.747063636779785
