tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40188169479370117
1,8_2,si,0.45021677017211914
1,16_2,si,0.45636653900146484
1,8_1,no,0.4044802188873291
1,8_2,no,0.45164036750793457
1,16_2,no,0.4595921039581299
2,8_1,si,1.6597273349761963
2,8_2,si,1.8640761375427246
2,16_2,si,1.8746390342712402
2,8_1,no,1.6657624244689941
2,8_2,no,1.8657348155975342
2,16_2,no,1.9418511390686035
3,8_1,si,3.8277761936187744
3,8_2,si,4.301987409591675
3,16_2,si,4.277416467666626
3,8_1,no,3.7987284660339355
3,8_2,no,4.274728298187256
3,16_2,no,4.284411430358887
4,8_1,si,6.879142761230469
4,8_2,si,7.61377215385437
4,16_2,si,7.619433879852295
4,8_1,no,6.8201823234558105
4,8_2,no,7.614124298095703
4,16_2,no,7.736377000808716
