tamanho,algoritmo,localidad,tiempo
1,8_1,si,0.40595531463623047
1,8_2,si,0.45555949211120605
1,16_2,si,0.45707082748413086
1,8_1,no,0.4048006534576416
1,8_2,no,0.45211195945739746
1,16_2,no,0.4607245922088623
2,8_1,si,1.660297155380249
2,8_2,si,1.8606998920440674
2,16_2,si,1.880519151687622
2,8_1,no,1.6759319305419922
2,8_2,no,1.8639307022094727
2,16_2,no,1.8863224983215332
3,8_1,si,3.7589337825775146
3,8_2,si,4.204678297042847
3,16_2,si,4.254838705062866
3,8_1,no,3.836540460586548
3,8_2,no,4.391267776489258
3,16_2,no,4.2987706661224365
4,8_1,si,6.826621770858765
4,8_2,si,7.638402223587036
4,16_2,si,7.649096727371216
4,8_1,no,6.889203071594238
4,8_2,no,7.676378965377808
4,16_2,no,7.7018983364105225
